lat,lon,cdi_value,cdi_class,severity,date
17.625,74.625,-0.1193,None,0,2024-08-14
17.625,74.875,0.46366,None,0,2024-08-14
17.625,75.125,0.86971,None,0,2024-08-14
17.625,75.375,0.35684,None,0,2024-08-14
17.625,75.625,0.86259,None,0,2024-08-14
17.625,75.875,0.11441,None,0,2024-08-14
17.625,76.125,-0.24416,None,0,2024-08-14
17.625,76.375,0.048955,None,0,2024-08-14
17.625,76.625,-0.47338,None,0,2024-08-14
17.625,76.875,0.15925,None,0,2024-08-14
17.625,77.125,-0.35623,None,0,2024-08-14
17.625,77.375,-0.022932,None,0,2024-08-14
17.625,77.625,-0.40264,None,0,2024-08-14
17.625,77.875,-1.0005,D1,2,2024-08-14
17.875,74.625,0.49041,None,0,2024-08-14
17.875,74.875,0.50374,None,0,2024-08-14
17.875,75.125,-0.27473,None,0,2024-08-14
17.875,75.375,-0.1033,None,0,2024-08-14
17.875,75.625,0.99147,None,0,2024-08-14
17.875,75.875,0.91741,None,0,2024-08-14
17.875,76.125,0.86458,None,0,2024-08-14
17.875,76.375,1.0937,None,0,2024-08-14
17.875,76.625,0.56838,None,0,2024-08-14
17.875,76.875,-0.56021,D0,1,2024-08-14
17.875,77.125,-0.14601,None,0,2024-08-14
17.875,77.375,-0.55067,D0,1,2024-08-14
17.875,77.625,-0.40416,None,0,2024-08-14
17.875,77.875,-0.239,None,0,2024-08-14
18.125,74.625,1.0588,None,0,2024-08-14
18.125,74.875,0.72301,None,0,2024-08-14
18.125,75.125,-0.7929,D1,2,2024-08-14
18.125,75.375,0.40699,None,0,2024-08-14
18.125,75.625,0.95992,None,0,2024-08-14
18.125,75.875,0.78028,None,0,2024-08-14
18.125,76.125,1.8733,None,0,2024-08-14
18.125,76.375,0.99892,None,0,2024-08-14
18.125,76.625,0.30889,None,0,2024-08-14
18.125,76.875,-0.21457,None,0,2024-08-14
18.125,77.125,0.38805,None,0,2024-08-14
18.125,77.375,-0.21597,None,0,2024-08-14
18.125,77.625,0.2276,None,0,2024-08-14
18.125,77.875,0.035732,None,0,2024-08-14
18.375,74.625,1.2397,None,0,2024-08-14
18.375,74.875,1.4645,None,0,2024-08-14
18.375,75.125,1.0164,None,0,2024-08-14
18.375,75.375,1.5646,None,0,2024-08-14
18.375,75.625,0.62801,None,0,2024-08-14
18.375,75.875,0.18028,None,0,2024-08-14
18.375,76.125,0.83452,None,0,2024-08-14
18.375,76.375,0.056029,None,0,2024-08-14
18.375,76.625,0.52895,None,0,2024-08-14
18.375,76.875,0.60047,None,0,2024-08-14
18.375,77.125,0.55348,None,0,2024-08-14
18.375,77.375,0.24366,None,0,2024-08-14
18.375,77.625,-0.19504,None,0,2024-08-14
18.375,77.875,0.4552,None,0,2024-08-14
18.625,74.625,0.90759,None,0,2024-08-14
18.625,74.875,1.5833,None,0,2024-08-14
