feature,importance
hist_flood_frequency,0.15940362
month,0.1263397
dfsi_score,0.071329705
mean_flood_duration,0.06460096
pct_flooded_area,0.05893158
sm_surface,0.04865948
historical_fatalities,0.047685485
rain_anomaly,0.044693287
rain_1d_mm,0.04010606
population,0.038279478
rain_7d_mm,0.03723961
built_frac,0.03438693
rain_3d_mm,0.03353453
rain_daily_mean_mm,0.031645477
sm_rootzone,0.031404838
rain_monthly_mm,0.026779884
water_frac,0.025571393
lst_day_k,0.02072249
elevation,0.019607285
et_mm,0.017019311
slope,0.012247886
water_occurrence,0.005533973
flow_acc,0.0026717773
dist_to_river,0.001605256
